sample_accession	sample_description	description	study_accession
SAMN29207812	16s rRNA	16s rRNA	PRJNA850879
SAMN29207814	16s rRNA	16s rRNA	PRJNA850879
SAMN29207821	16s rRNA	16s rRNA	PRJNA850879
SAMN29207826	16s rRNA	16s rRNA	PRJNA850879
SAMN29207828	16s rRNA	16s rRNA	PRJNA850879
SAMN29207829	16s rRNA	16s rRNA	PRJNA850879
SAMN29207830	16s rRNA	16s rRNA	PRJNA850879
SAMN29207835	16s rRNA	16s rRNA	PRJNA850879
SAMN29207836	16s rRNA	16s rRNA	PRJNA850879
SAMN29207838	16s rRNA	16s rRNA	PRJNA850879
SAMN29207839	16s rRNA	16s rRNA	PRJNA850879
SAMN29207841	16s rRNA	16s rRNA	PRJNA850879
SAMN29207847	16s rRNA	16s rRNA	PRJNA850879
SAMN29212035	16s rRNA	16s rRNA	NA
SAMN29212036	16s rRNA	16s rRNA	NA
SAMN29212038	16s rRNA	16s rRNA	NA
SAMN29212043	16s rRNA	16s rRNA	NA
SAMN29212060	16s rRNA	16s rRNA	NA
SAMN29212063	16s rRNA	16s rRNA	NA
SAMN29212070	16s rRNA	16s rRNA	NA
SAMN29212071	16s rRNA	16s rRNA	NA
SAMN29212073	16s rRNA	16s rRNA	NA
SAMN29212082	16s rRNA	16s rRNA	NA
SAMN29212092	16s rRNA	16s rRNA	NA
SAMN29212093	16s rRNA	16s rRNA	NA
SAMN29212106	16s rRNA	16s rRNA	NA
SAMN29212107	16s rRNA	16s rRNA	NA
SAMN29212108	16s rRNA	16s rRNA	NA
SAMN29212112	16s rRNA	16s rRNA	NA
SAMN29212114	16s rRNA	16s rRNA	NA
SAMN29212122	16s rRNA	16s rRNA	NA
SAMN29212126	16s rRNA	16s rRNA	NA
SAMN29212128	16s rRNA	16s rRNA	NA
SAMN29212133	16s rRNA	16s rRNA	NA
SAMN29212136	16s rRNA	16s rRNA	NA
SAMN29212140	16s rRNA	16s rRNA	NA
SAMN29212141	16s rRNA	16s rRNA	NA
SAMN29212142	16s rRNA	16s rRNA	NA
SAMN29212163	16s rRNA	16s rRNA	NA
SAMN29212164	16s rRNA	16s rRNA	NA
SAMN29212166	16s rRNA	16s rRNA	NA
SAMN29212168	16s rRNA	16s rRNA	NA
SAMN29212171	16s rRNA	16s rRNA	NA
SAMN29212173	16s rRNA	16s rRNA	NA
SAMN29212177	16s rRNA	16s rRNA	NA
SAMN29212183	16s rRNA	16s rRNA	NA
SAMN29212186	16s rRNA	16s rRNA	NA
SAMN29212187	16s rRNA	16s rRNA	NA
SAMN29212188	16s rRNA	16s rRNA	NA
SAMN29212190	16s rRNA	16s rRNA	NA
SAMN29212197	16s rRNA	16s rRNA	NA
SAMN29212198	16s rRNA	16s rRNA	NA
SAMN29212199	16s rRNA	16s rRNA	NA
SAMN29212208	16s rRNA	16s rRNA	NA
SAMN29212210	16s rRNA	16s rRNA	NA
SAMN29212214	16s rRNA	16s rRNA	NA
SAMN29212219	16s rRNA	16s rRNA	NA
SAMN29212223	16s rRNA	16s rRNA	NA
SAMN29212224	16s rRNA	16s rRNA	NA
SAMN29212229	16s rRNA	16s rRNA	NA
SAMN29212232	16s rRNA	16s rRNA	NA
SAMN29212247	16s rRNA	16s rRNA	NA
SAMN29212249	16s rRNA	16s rRNA	NA
SAMN29212250	16s rRNA	16s rRNA	NA
SAMN29212253	16s rRNA	16s rRNA	NA
SAMN29212254	16s rRNA	16s rRNA	NA
SAMN29212255	16s rRNA	16s rRNA	NA
SAMN29212258	16s rRNA	16s rRNA	NA
SAMN29212266	16s rRNA	16s rRNA	NA
SAMN29212268	16s rRNA	16s rRNA	NA
SAMN29212271	16s rRNA	16s rRNA	NA
SAMN29212273	16s rRNA	16s rRNA	NA
SAMN29212274	16s rRNA	16s rRNA	NA
SAMN29212277	16s rRNA	16s rRNA	NA
SAMN29212278	16s rRNA	16s rRNA	NA
SAMN29212279	16s rRNA	16s rRNA	NA
SAMN29212280	16s rRNA	16s rRNA	NA
SAMN29212281	16s rRNA	16s rRNA	NA
SAMN30618887	16S rRNA	16S rRNA	PRJNA876315
SAMN30618896	16S rRNA	16S rRNA	PRJNA876315
SAMN30618899	16S rRNA	16S rRNA	PRJNA876315
SAMN30618900	16S rRNA	16S rRNA	PRJNA876315
SAMN30618903	16S rRNA	16S rRNA	PRJNA876315
SAMN30618906	16S rRNA	16S rRNA	PRJNA876315
SAMN30618912	16S rRNA	16S rRNA	PRJNA876315
SAMN31463372	16S rRNA	16S rRNA	PRJNA894544
SAMN31463373	16S rRNA	16S rRNA	PRJNA894544
SAMN31463377	16S rRNA	16S rRNA	PRJNA894544
SAMN31463379	16S rRNA	16S rRNA	PRJNA894544
SAMN31463381	16S rRNA	16S rRNA	PRJNA894544
SAMN31463383	16S rRNA	16S rRNA	PRJNA894544
SAMN31463384	16S rRNA	16S rRNA	PRJNA894544
SAMN31463385	16S rRNA	16S rRNA	PRJNA894544
SAMN31463392	16S rRNA	16S rRNA	PRJNA894544
SAMN31463396	16S rRNA	16S rRNA	PRJNA894544
SAMN31463397	16S rRNA	16S rRNA	PRJNA894544
SAMN31463399	16S rRNA	16S rRNA	PRJNA894544
SAMN31463407	16S rRNA	16S rRNA	PRJNA894544
SAMN31463410	16S rRNA	16S rRNA	PRJNA894544
SAMN31463411	16S rRNA	16S rRNA	PRJNA894544
SAMN31463412	16S rRNA	16S rRNA	PRJNA894544
SAMN31463413	16S rRNA	16S rRNA	PRJNA894544
SAMN31463414	16S rRNA	16S rRNA	PRJNA894544
SAMN31463417	16S rRNA	16S rRNA	PRJNA894544
SAMN31463422	16S rRNA	16S rRNA	PRJNA894544
SAMN31463424	16S rRNA	16S rRNA	PRJNA894544
SAMN31463426	16S rRNA	16S rRNA	PRJNA894544
SAMN31463429	16S rRNA	16S rRNA	PRJNA894544
SAMN31463431	16S rRNA	16S rRNA	PRJNA894544
SAMN31463432	16S rRNA	16S rRNA	PRJNA894544
SAMN31463433	16S rRNA	16S rRNA	PRJNA894544
SAMN31463434	16S rRNA	16S rRNA	PRJNA894544
SAMN31463436	16S rRNA	16S rRNA	PRJNA894544
SAMN31463441	16S rRNA	16S rRNA	PRJNA894544
SAMN31463444	16S rRNA	16S rRNA	PRJNA894544
SAMN31463445	16S rRNA	16S rRNA	PRJNA894544
SAMN31463446	16S rRNA	16S rRNA	PRJNA894544
SAMN31463448	16S rRNA	16S rRNA	PRJNA894544
SAMN31463452	16S rRNA	16S rRNA	PRJNA894544
SAMN31463455	16S rRNA	16S rRNA	PRJNA894544
SAMN31463456	16S rRNA	16S rRNA	PRJNA894544
SAMN31463457	16S rRNA	16S rRNA	PRJNA894544
SAMN31463459	16S rRNA	16S rRNA	PRJNA894544
SAMN31463460	16S rRNA	16S rRNA	PRJNA894544
SAMN31463463	16S rRNA	16S rRNA	PRJNA894544
SAMN31463467	16S rRNA	16S rRNA	PRJNA894544
SAMN31463472	16S rRNA	16S rRNA	PRJNA894544
SAMN31463474	16S rRNA	16S rRNA	PRJNA894544
SAMN31463475	16S rRNA	16S rRNA	PRJNA894544
SAMN31463478	16S rRNA	16S rRNA	PRJNA894544
SAMN31463479	16S rRNA	16S rRNA	PRJNA894544
SAMN31463485	16S rRNA	16S rRNA	PRJNA894544
SAMN31463492	16S rRNA	16S rRNA	PRJNA894544
SAMN31463495	16S rRNA	16S rRNA	PRJNA894544
SAMN31463497	16S rRNA	16S rRNA	PRJNA894544
SAMN31463503	16S rRNA	16S rRNA	PRJNA894544
SAMN31463506	16S rRNA	16S rRNA	PRJNA894544
SAMN31463511	16S rRNA	16S rRNA	PRJNA894544
SAMN31463512	16S rRNA	16S rRNA	PRJNA894544
SAMN31463513	16S rRNA	16S rRNA	PRJNA894544
SAMN31463515	16S rRNA	16S rRNA	PRJNA894544
SAMN31463518	16S rRNA	16S rRNA	PRJNA894544
SAMN31463521	16S rRNA	16S rRNA	PRJNA894544
SAMN31463524	16S rRNA	16S rRNA	PRJNA894544
SAMN31463526	16S rRNA	16S rRNA	PRJNA894544
SAMN31463527	16S rRNA	16S rRNA	PRJNA894544
SAMN31463531	16S rRNA	16S rRNA	PRJNA894544
SAMN31463532	16S rRNA	16S rRNA	PRJNA894544
SAMN31463536	16S rRNA	16S rRNA	PRJNA894544
SAMN31463538	16S rRNA	16S rRNA	PRJNA894544
SAMN31463540	16S rRNA	16S rRNA	PRJNA894544
SAMN31463551	16S rRNA	16S rRNA	PRJNA894544
