run_accession	sample_accession	experiment_accession	study_accession	tax_id	scientific_name	fastq_bytes	fastq_ftp	submitted_bytes	submitted_ftp	sra_bytes	sra_ftp	bam_ftp	bam_bytes
ERR3507051	SAMEA5934561	ERX3528265	PRJEB34168	408170	human gut metagenome	11259670;13131771	ftp.sra.ebi.ac.uk/vol1/fastq/ERR350/001/ERR3507051/ERR3507051_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR350/001/ERR3507051/ERR3507051_2.fastq.gz	10514541;12439653	ftp.sra.ebi.ac.uk/vol1/run/ERR350/ERR3507051/MS04_22_L001_R1_001.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR350/ERR3507051/MS04_22_L001_R2_001.fastq.gz	28971143	ftp.sra.ebi.ac.uk/vol1/err/ERR350/001/ERR3507051		
ERR3507054	SAMEA5934564	ERX3528268	PRJEB34168	408170	human gut metagenome	7593794;8625436	ftp.sra.ebi.ac.uk/vol1/fastq/ERR350/004/ERR3507054/ERR3507054_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR350/004/ERR3507054/ERR3507054_2.fastq.gz	7100997;8153222	ftp.sra.ebi.ac.uk/vol1/run/ERR350/ERR3507054/MS07_4_L001_R1_001.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR350/ERR3507054/MS07_4_L001_R2_001.fastq.gz	18584222	ftp.sra.ebi.ac.uk/vol1/err/ERR350/004/ERR3507054		
ERR3507055	SAMEA5934565	ERX3528269	PRJEB34168	408170	human gut metagenome	6865429;7801820	ftp.sra.ebi.ac.uk/vol1/fastq/ERR350/005/ERR3507055/ERR3507055_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR350/005/ERR3507055/ERR3507055_2.fastq.gz	6420508;7390051	ftp.sra.ebi.ac.uk/vol1/run/ERR350/ERR3507055/MS08_2_L001_R1_001.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR350/ERR3507055/MS08_2_L001_R2_001.fastq.gz	17109953	ftp.sra.ebi.ac.uk/vol1/err/ERR350/005/ERR3507055		
ERR3507061	SAMEA5934571	ERX3528275	PRJEB34168	408170	human gut metagenome	12704873;15344912	ftp.sra.ebi.ac.uk/vol1/fastq/ERR350/001/ERR3507061/ERR3507061_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR350/001/ERR3507061/ERR3507061_2.fastq.gz	11778593;14439393	ftp.sra.ebi.ac.uk/vol1/run/ERR350/ERR3507061/MS14_28_L001_R1_001.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR350/ERR3507061/MS14_28_L001_R2_001.fastq.gz	33277790	ftp.sra.ebi.ac.uk/vol1/err/ERR350/001/ERR3507061		
ERR3507064	SAMEA5934574	ERX3528278	PRJEB34168	408170	human gut metagenome	9055777;10794846	ftp.sra.ebi.ac.uk/vol1/fastq/ERR350/004/ERR3507064/ERR3507064_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR350/004/ERR3507064/ERR3507064_2.fastq.gz	8384936;10142434	ftp.sra.ebi.ac.uk/vol1/run/ERR350/ERR3507064/MS17_30_L001_R1_001.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR350/ERR3507064/MS17_30_L001_R2_001.fastq.gz	22645064	ftp.sra.ebi.ac.uk/vol1/err/ERR350/004/ERR3507064		
ERR3507013	SAMEA5934523	ERX3528227	PRJEB34168	408170	human gut metagenome	10387118;11695465	ftp.sra.ebi.ac.uk/vol1/fastq/ERR350/003/ERR3507013/ERR3507013_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR350/003/ERR3507013/ERR3507013_2.fastq.gz	9729621;11037852	ftp.sra.ebi.ac.uk/vol1/run/ERR350/ERR3507013/Healthy05_12_L001_R1_001.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR350/ERR3507013/Healthy05_12_L001_R2_001.fastq.gz	25001165	ftp.sra.ebi.ac.uk/vol1/err/ERR350/003/ERR3507013		
ERR3507065	SAMEA5934575	ERX3528279	PRJEB34168	408170	human gut metagenome	9475671;11352650	ftp.sra.ebi.ac.uk/vol1/fastq/ERR350/005/ERR3507065/ERR3507065_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR350/005/ERR3507065/ERR3507065_2.fastq.gz	8764471;10687784	ftp.sra.ebi.ac.uk/vol1/run/ERR350/ERR3507065/MS18_16_L001_R1_001.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR350/ERR3507065/MS18_16_L001_R2_001.fastq.gz	23918213	ftp.sra.ebi.ac.uk/vol1/err/ERR350/005/ERR3507065		
ERR3507016	SAMEA5934526	ERX3528230	PRJEB34168	408170	human gut metagenome	10061032;11659054	ftp.sra.ebi.ac.uk/vol1/fastq/ERR350/006/ERR3507016/ERR3507016_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR350/006/ERR3507016/ERR3507016_2.fastq.gz	9412852;11020483	ftp.sra.ebi.ac.uk/vol1/run/ERR350/ERR3507016/Healthy08_14_L001_R1_001.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR350/ERR3507016/Healthy08_14_L001_R2_001.fastq.gz	25054613	ftp.sra.ebi.ac.uk/vol1/err/ERR350/006/ERR3507016		
ERR3507066	SAMEA5934576	ERX3528280	PRJEB34168	408170	human gut metagenome	8939656;10748503	ftp.sra.ebi.ac.uk/vol1/fastq/ERR350/006/ERR3507066/ERR3507066_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR350/006/ERR3507066/ERR3507066_2.fastq.gz	8273991;10125513	ftp.sra.ebi.ac.uk/vol1/run/ERR350/ERR3507066/MS19_5_L001_R1_001.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR350/ERR3507066/MS19_5_L001_R2_001.fastq.gz	22839456	ftp.sra.ebi.ac.uk/vol1/err/ERR350/006/ERR3507066		
ERR3507017	SAMEA5934527	ERX3528231	PRJEB34168	408170	human gut metagenome	13154526;14747674	ftp.sra.ebi.ac.uk/vol1/fastq/ERR350/007/ERR3507017/ERR3507017_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR350/007/ERR3507017/ERR3507017_2.fastq.gz	12260756;13885322	ftp.sra.ebi.ac.uk/vol1/run/ERR350/ERR3507017/Healthy09_5_L001_R1_001.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR350/ERR3507017/Healthy09_5_L001_R2_001.fastq.gz	32389241	ftp.sra.ebi.ac.uk/vol1/err/ERR350/007/ERR3507017		
ERR3507072	SAMEA5934582	ERX3528286	PRJEB34168	408170	human gut metagenome	2935359;3749243	ftp.sra.ebi.ac.uk/vol1/fastq/ERR350/002/ERR3507072/ERR3507072_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR350/002/ERR3507072/ERR3507072_2.fastq.gz	2681105;3512676	ftp.sra.ebi.ac.uk/vol1/run/ERR350/ERR3507072/MS25_5_L001_R1_001.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR350/ERR3507072/MS25_5_L001_R2_001.fastq.gz	8053516	ftp.sra.ebi.ac.uk/vol1/err/ERR350/002/ERR3507072		
ERR3507018	SAMEA5934528	ERX3528232	PRJEB34168	408170	human gut metagenome	7866343;8501175	ftp.sra.ebi.ac.uk/vol1/fastq/ERR350/008/ERR3507018/ERR3507018_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR350/008/ERR3507018/ERR3507018_2.fastq.gz	7358946;8014223	ftp.sra.ebi.ac.uk/vol1/run/ERR350/ERR3507018/Healthy10_24_L001_R1_001.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR350/ERR3507018/Healthy10_24_L001_R2_001.fastq.gz	19131377	ftp.sra.ebi.ac.uk/vol1/err/ERR350/008/ERR3507018		
ERR3507020	SAMEA5934530	ERX3528234	PRJEB34168	408170	human gut metagenome	8544237;9639732	ftp.sra.ebi.ac.uk/vol1/fastq/ERR350/000/ERR3507020/ERR3507020_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR350/000/ERR3507020/ERR3507020_2.fastq.gz	7997752;9096035	ftp.sra.ebi.ac.uk/vol1/run/ERR350/ERR3507020/Healthy12_11_L001_R1_001.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR350/ERR3507020/Healthy12_11_L001_R2_001.fastq.gz	20555450	ftp.sra.ebi.ac.uk/vol1/err/ERR350/000/ERR3507020		
ERR3507023	SAMEA5934533	ERX3528237	PRJEB34168	408170	human gut metagenome	8843235;9786920	ftp.sra.ebi.ac.uk/vol1/fastq/ERR350/003/ERR3507023/ERR3507023_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR350/003/ERR3507023/ERR3507023_2.fastq.gz	8266079;9224993	ftp.sra.ebi.ac.uk/vol1/run/ERR350/ERR3507023/Healthy15_19_L001_R1_001.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR350/ERR3507023/Healthy15_19_L001_R2_001.fastq.gz	20730205	ftp.sra.ebi.ac.uk/vol1/err/ERR350/003/ERR3507023		
ERR3507024	SAMEA5934534	ERX3528238	PRJEB34168	408170	human gut metagenome	8970755;10515797	ftp.sra.ebi.ac.uk/vol1/fastq/ERR350/004/ERR3507024/ERR3507024_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR350/004/ERR3507024/ERR3507024_2.fastq.gz	8340875;9892061	ftp.sra.ebi.ac.uk/vol1/run/ERR350/ERR3507024/Healthy16_9_L001_R1_001.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR350/ERR3507024/Healthy16_9_L001_R2_001.fastq.gz	21852352	ftp.sra.ebi.ac.uk/vol1/err/ERR350/004/ERR3507024		
ERR3507025	SAMEA5934535	ERX3528239	PRJEB34168	408170	human gut metagenome	10748637;12576919	ftp.sra.ebi.ac.uk/vol1/fastq/ERR350/005/ERR3507025/ERR3507025_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR350/005/ERR3507025/ERR3507025_2.fastq.gz	9969115;11826060	ftp.sra.ebi.ac.uk/vol1/run/ERR350/ERR3507025/Healthy17_12_L001_R1_001.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR350/ERR3507025/Healthy17_12_L001_R2_001.fastq.gz	26190099	ftp.sra.ebi.ac.uk/vol1/err/ERR350/005/ERR3507025		
ERR3507026	SAMEA5934536	ERX3528240	PRJEB34168	408170	human gut metagenome	19006130;23067271	ftp.sra.ebi.ac.uk/vol1/fastq/ERR350/006/ERR3507026/ERR3507026_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR350/006/ERR3507026/ERR3507026_2.fastq.gz	17585769;21722332	ftp.sra.ebi.ac.uk/vol1/run/ERR350/ERR3507026/Healthy18_8_L001_R1_001.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR350/ERR3507026/Healthy18_8_L001_R2_001.fastq.gz	48929732	ftp.sra.ebi.ac.uk/vol1/err/ERR350/006/ERR3507026		
ERR3507011	SAMEA5934521	ERX3528225	PRJEB34168	408170	human gut metagenome	11580440;13005874	ftp.sra.ebi.ac.uk/vol1/fastq/ERR350/001/ERR3507011/ERR3507011_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR350/001/ERR3507011/ERR3507011_2.fastq.gz	10821400;12268751	ftp.sra.ebi.ac.uk/vol1/run/ERR350/ERR3507011/Healthy03_9_L001_R1_001.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR350/ERR3507011/Healthy03_9_L001_R2_001.fastq.gz	28380980	ftp.sra.ebi.ac.uk/vol1/err/ERR350/001/ERR3507011		
ERR3507027	SAMEA5934537	ERX3528241	PRJEB34168	408170	human gut metagenome	17259791;20154440	ftp.sra.ebi.ac.uk/vol1/fastq/ERR350/007/ERR3507027/ERR3507027_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR350/007/ERR3507027/ERR3507027_2.fastq.gz	15990938;18904027	ftp.sra.ebi.ac.uk/vol1/run/ERR350/ERR3507027/Healthy19_2_L001_R1_001.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR350/ERR3507027/Healthy19_2_L001_R2_001.fastq.gz	42755002	ftp.sra.ebi.ac.uk/vol1/err/ERR350/007/ERR3507027		
ERR3507014	SAMEA5934524	ERX3528228	PRJEB34168	408170	human gut metagenome	9644830;11036455	ftp.sra.ebi.ac.uk/vol1/fastq/ERR350/004/ERR3507014/ERR3507014_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR350/004/ERR3507014/ERR3507014_2.fastq.gz	8985431;10435777	ftp.sra.ebi.ac.uk/vol1/run/ERR350/ERR3507014/Healthy06_7_L001_R1_001.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR350/ERR3507014/Healthy06_7_L001_R2_001.fastq.gz	24150404	ftp.sra.ebi.ac.uk/vol1/err/ERR350/004/ERR3507014		
ERR3507030	SAMEA5934540	ERX3528244	PRJEB34168	408170	human gut metagenome	11892094;14092772	ftp.sra.ebi.ac.uk/vol1/fastq/ERR350/000/ERR3507030/ERR3507030_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR350/000/ERR3507030/ERR3507030_2.fastq.gz	11027935;13276622	ftp.sra.ebi.ac.uk/vol1/run/ERR350/ERR3507030/Healthy22_15_L001_R1_001.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR350/ERR3507030/Healthy22_15_L001_R2_001.fastq.gz	30042962	ftp.sra.ebi.ac.uk/vol1/err/ERR350/000/ERR3507030		
ERR3507015	SAMEA5934525	ERX3528229	PRJEB34168	408170	human gut metagenome	8884991;10323845	ftp.sra.ebi.ac.uk/vol1/fastq/ERR350/005/ERR3507015/ERR3507015_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR350/005/ERR3507015/ERR3507015_2.fastq.gz	8298237;9769764	ftp.sra.ebi.ac.uk/vol1/run/ERR350/ERR3507015/Healthy07_3_L001_R1_001.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR350/ERR3507015/Healthy07_3_L001_R2_001.fastq.gz	22491289	ftp.sra.ebi.ac.uk/vol1/err/ERR350/005/ERR3507015		
ERR3507032	SAMEA5934542	ERX3528246	PRJEB34168	408170	human gut metagenome	6535680;7752218	ftp.sra.ebi.ac.uk/vol1/fastq/ERR350/002/ERR3507032/ERR3507032_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR350/002/ERR3507032/ERR3507032_2.fastq.gz	6068190;7300859	ftp.sra.ebi.ac.uk/vol1/run/ERR350/ERR3507032/Healthy24_24_L001_R1_001.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR350/ERR3507032/Healthy24_24_L001_R2_001.fastq.gz	16817947	ftp.sra.ebi.ac.uk/vol1/err/ERR350/002/ERR3507032		
ERR3507033	SAMEA5934543	ERX3528247	PRJEB34168	408170	human gut metagenome	5089269;5951272	ftp.sra.ebi.ac.uk/vol1/fastq/ERR350/003/ERR3507033/ERR3507033_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR350/003/ERR3507033/ERR3507033_2.fastq.gz	4723294;5605391	ftp.sra.ebi.ac.uk/vol1/run/ERR350/ERR3507033/Healthy25_26_L001_R1_001.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR350/ERR3507033/Healthy25_26_L001_R2_001.fastq.gz	12547151	ftp.sra.ebi.ac.uk/vol1/err/ERR350/003/ERR3507033		
