run_accession	sample_accession	experiment_accession	study_accession	tax_id	scientific_name	fastq_bytes	fastq_ftp	submitted_bytes	submitted_ftp	sra_bytes	sra_ftp	bam_ftp	bam_bytes
ERR3507040	SAMEA5934550	ERX3528254	PRJEB34168	408170	human gut metagenome	12183618;14376917	ftp.sra.ebi.ac.uk/vol1/fastq/ERR350/000/ERR3507040/ERR3507040_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR350/000/ERR3507040/ERR3507040_2.fastq.gz	11322895;13515975	ftp.sra.ebi.ac.uk/vol1/run/ERR350/ERR3507040/Healthy32_27_L001_R1_001.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR350/ERR3507040/Healthy32_27_L001_R2_001.fastq.gz	31017980	ftp.sra.ebi.ac.uk/vol1/err/ERR350/000/ERR3507040		
ERR3507043	SAMEA5934553	ERX3528257	PRJEB34168	408170	human gut metagenome	3727902;4946804	ftp.sra.ebi.ac.uk/vol1/fastq/ERR350/003/ERR3507043/ERR3507043_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR350/003/ERR3507043/ERR3507043_2.fastq.gz	3411518;4652611	ftp.sra.ebi.ac.uk/vol1/run/ERR350/ERR3507043/Healthy35_7_L001_R1_001.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR350/ERR3507043/Healthy35_7_L001_R2_001.fastq.gz	10010643	ftp.sra.ebi.ac.uk/vol1/err/ERR350/003/ERR3507043		
ERR3507041	SAMEA5934551	ERX3528255	PRJEB34168	408170	human gut metagenome	8398214;9748812	ftp.sra.ebi.ac.uk/vol1/fastq/ERR350/001/ERR3507041/ERR3507041_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR350/001/ERR3507041/ERR3507041_2.fastq.gz	7810945;9180937	ftp.sra.ebi.ac.uk/vol1/run/ERR350/ERR3507041/Healthy33_10_L001_R1_001.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR350/ERR3507041/Healthy33_10_L001_R2_001.fastq.gz	19717928	ftp.sra.ebi.ac.uk/vol1/err/ERR350/001/ERR3507041		
ERR3507046	SAMEA5934556	ERX3528260	PRJEB34168	408170	human gut metagenome	3340688;4149275	ftp.sra.ebi.ac.uk/vol1/fastq/ERR350/006/ERR3507046/ERR3507046_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR350/006/ERR3507046/ERR3507046_2.fastq.gz	3071664;3904689	ftp.sra.ebi.ac.uk/vol1/run/ERR350/ERR3507046/Healthy38_11_L001_R1_001.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR350/ERR3507046/Healthy38_11_L001_R2_001.fastq.gz	9241740	ftp.sra.ebi.ac.uk/vol1/err/ERR350/006/ERR3507046		
ERR3507048	SAMEA5934558	ERX3528262	PRJEB34168	408170	human gut metagenome	9133670;9942184	ftp.sra.ebi.ac.uk/vol1/fastq/ERR350/008/ERR3507048/ERR3507048_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR350/008/ERR3507048/ERR3507048_2.fastq.gz	8516001;9359956	ftp.sra.ebi.ac.uk/vol1/run/ERR350/ERR3507048/MS01_8_L001_R1_001.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR350/ERR3507048/MS01_8_L001_R2_001.fastq.gz	22159638	ftp.sra.ebi.ac.uk/vol1/err/ERR350/008/ERR3507048		
ERR3507052	SAMEA5934562	ERX3528266	PRJEB34168	408170	human gut metagenome	9559666;10833544	ftp.sra.ebi.ac.uk/vol1/fastq/ERR350/002/ERR3507052/ERR3507052_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR350/002/ERR3507052/ERR3507052_2.fastq.gz	8931413;10234658	ftp.sra.ebi.ac.uk/vol1/run/ERR350/ERR3507052/MS05_20_L001_R1_001.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR350/ERR3507052/MS05_20_L001_R2_001.fastq.gz	23598843	ftp.sra.ebi.ac.uk/vol1/err/ERR350/002/ERR3507052		
ERR3507050	SAMEA5934560	ERX3528264	PRJEB34168	408170	human gut metagenome	8211921;9313517	ftp.sra.ebi.ac.uk/vol1/fastq/ERR350/000/ERR3507050/ERR3507050_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR350/000/ERR3507050/ERR3507050_2.fastq.gz	7661266;8785448	ftp.sra.ebi.ac.uk/vol1/run/ERR350/ERR3507050/MS03_17_L001_R1_001.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR350/ERR3507050/MS03_17_L001_R2_001.fastq.gz	20218960	ftp.sra.ebi.ac.uk/vol1/err/ERR350/000/ERR3507050		
ERR3507056	SAMEA5934566	ERX3528270	PRJEB34168	408170	human gut metagenome	6715801;7531337	ftp.sra.ebi.ac.uk/vol1/fastq/ERR350/006/ERR3507056/ERR3507056_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR350/006/ERR3507056/ERR3507056_2.fastq.gz	6276060;7105043	ftp.sra.ebi.ac.uk/vol1/run/ERR350/ERR3507056/MS09_6_L001_R1_001.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR350/ERR3507056/MS09_6_L001_R2_001.fastq.gz	16088204	ftp.sra.ebi.ac.uk/vol1/err/ERR350/006/ERR3507056		
ERR3507053	SAMEA5934563	ERX3528267	PRJEB34168	408170	human gut metagenome	6998149;7926841	ftp.sra.ebi.ac.uk/vol1/fastq/ERR350/003/ERR3507053/ERR3507053_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR350/003/ERR3507053/ERR3507053_2.fastq.gz	6546287;7482604	ftp.sra.ebi.ac.uk/vol1/run/ERR350/ERR3507053/MS06_21_L001_R1_001.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR350/ERR3507053/MS06_21_L001_R2_001.fastq.gz	17388369	ftp.sra.ebi.ac.uk/vol1/err/ERR350/003/ERR3507053		
ERR3507057	SAMEA5934567	ERX3528271	PRJEB34168	408170	human gut metagenome	14834345;17618512	ftp.sra.ebi.ac.uk/vol1/fastq/ERR350/007/ERR3507057/ERR3507057_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR350/007/ERR3507057/ERR3507057_2.fastq.gz	13769098;16599856	ftp.sra.ebi.ac.uk/vol1/run/ERR350/ERR3507057/MS10_11_L001_R1_001.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR350/ERR3507057/MS10_11_L001_R2_001.fastq.gz	37374124	ftp.sra.ebi.ac.uk/vol1/err/ERR350/007/ERR3507057		
ERR3507059	SAMEA5934569	ERX3528273	PRJEB34168	408170	human gut metagenome	8596429;10144551	ftp.sra.ebi.ac.uk/vol1/fastq/ERR350/009/ERR3507059/ERR3507059_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR350/009/ERR3507059/ERR3507059_2.fastq.gz	7973757;9542342	ftp.sra.ebi.ac.uk/vol1/run/ERR350/ERR3507059/MS12_25_L001_R1_001.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR350/ERR3507059/MS12_25_L001_R2_001.fastq.gz	22124095	ftp.sra.ebi.ac.uk/vol1/err/ERR350/009/ERR3507059		
ERR3507058	SAMEA5934568	ERX3528272	PRJEB34168	408170	human gut metagenome	9825875;11428855	ftp.sra.ebi.ac.uk/vol1/fastq/ERR350/008/ERR3507058/ERR3507058_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR350/008/ERR3507058/ERR3507058_2.fastq.gz	9122469;10743405	ftp.sra.ebi.ac.uk/vol1/run/ERR350/ERR3507058/MS11_13_L001_R1_001.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR350/ERR3507058/MS11_13_L001_R2_001.fastq.gz	24173206	ftp.sra.ebi.ac.uk/vol1/err/ERR350/008/ERR3507058		
ERR3507067	SAMEA5934577	ERX3528281	PRJEB34168	408170	human gut metagenome	12615876;15294395	ftp.sra.ebi.ac.uk/vol1/fastq/ERR350/007/ERR3507067/ERR3507067_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR350/007/ERR3507067/ERR3507067_2.fastq.gz	11673502;14412577	ftp.sra.ebi.ac.uk/vol1/run/ERR350/ERR3507067/MS20_6_L001_R1_001.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR350/ERR3507067/MS20_6_L001_R2_001.fastq.gz	33033503	ftp.sra.ebi.ac.uk/vol1/err/ERR350/007/ERR3507067		
ERR3507060	SAMEA5934570	ERX3528274	PRJEB34168	408170	human gut metagenome	24968888;29591368	ftp.sra.ebi.ac.uk/vol1/fastq/ERR350/000/ERR3507060/ERR3507060_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR350/000/ERR3507060/ERR3507060_2.fastq.gz	23132945;27811140	ftp.sra.ebi.ac.uk/vol1/run/ERR350/ERR3507060/MS13_7_L001_R1_001.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR350/ERR3507060/MS13_7_L001_R2_001.fastq.gz	63225234	ftp.sra.ebi.ac.uk/vol1/err/ERR350/000/ERR3507060		
ERR3507069	SAMEA5934579	ERX3528283	PRJEB34168	408170	human gut metagenome	4262562;5339041	ftp.sra.ebi.ac.uk/vol1/fastq/ERR350/009/ERR3507069/ERR3507069_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR350/009/ERR3507069/ERR3507069_2.fastq.gz	3906322;5006957	ftp.sra.ebi.ac.uk/vol1/run/ERR350/ERR3507069/MS22_2_L001_R1_001.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR350/ERR3507069/MS22_2_L001_R2_001.fastq.gz	11634005	ftp.sra.ebi.ac.uk/vol1/err/ERR350/009/ERR3507069		
ERR3507062	SAMEA5934572	ERX3528276	PRJEB34168	408170	human gut metagenome	9891471;11810448	ftp.sra.ebi.ac.uk/vol1/fastq/ERR350/002/ERR3507062/ERR3507062_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR350/002/ERR3507062/ERR3507062_2.fastq.gz	9165524;11126584	ftp.sra.ebi.ac.uk/vol1/run/ERR350/ERR3507062/MS15_23_L001_R1_001.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR350/ERR3507062/MS15_23_L001_R2_001.fastq.gz	25108866	ftp.sra.ebi.ac.uk/vol1/err/ERR350/002/ERR3507062		
ERR3507063	SAMEA5934573	ERX3528277	PRJEB34168	408170	human gut metagenome	10560530;12569728	ftp.sra.ebi.ac.uk/vol1/fastq/ERR350/003/ERR3507063/ERR3507063_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR350/003/ERR3507063/ERR3507063_2.fastq.gz	9777317;11817082	ftp.sra.ebi.ac.uk/vol1/run/ERR350/ERR3507063/MS16_21_L001_R1_001.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR350/ERR3507063/MS16_21_L001_R2_001.fastq.gz	27615033	ftp.sra.ebi.ac.uk/vol1/err/ERR350/003/ERR3507063		
ERR3507068	SAMEA5934578	ERX3528282	PRJEB34168	408170	human gut metagenome	11051647;13228592	ftp.sra.ebi.ac.uk/vol1/fastq/ERR350/008/ERR3507068/ERR3507068_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR350/008/ERR3507068/ERR3507068_2.fastq.gz	10229140;12452091	ftp.sra.ebi.ac.uk/vol1/run/ERR350/ERR3507068/MS21_18_L001_R1_001.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR350/ERR3507068/MS21_18_L001_R2_001.fastq.gz	28554787	ftp.sra.ebi.ac.uk/vol1/err/ERR350/008/ERR3507068		
ERR3507070	SAMEA5934580	ERX3528284	PRJEB34168	408170	human gut metagenome	3656456;4561981	ftp.sra.ebi.ac.uk/vol1/fastq/ERR350/000/ERR3507070/ERR3507070_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR350/000/ERR3507070/ERR3507070_2.fastq.gz	3342456;4284424	ftp.sra.ebi.ac.uk/vol1/run/ERR350/ERR3507070/MS23_3_L001_R1_001.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR350/ERR3507070/MS23_3_L001_R2_001.fastq.gz	10029041	ftp.sra.ebi.ac.uk/vol1/err/ERR350/000/ERR3507070		
ERR3507071	SAMEA5934581	ERX3528285	PRJEB34168	408170	human gut metagenome	3785999;5067560	ftp.sra.ebi.ac.uk/vol1/fastq/ERR350/001/ERR3507071/ERR3507071_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR350/001/ERR3507071/ERR3507071_2.fastq.gz	3426019;4753436	ftp.sra.ebi.ac.uk/vol1/run/ERR350/ERR3507071/MS24_4_L001_R1_001.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR350/ERR3507071/MS24_4_L001_R2_001.fastq.gz	11365150	ftp.sra.ebi.ac.uk/vol1/err/ERR350/001/ERR3507071		
ERR3507073	SAMEA5934583	ERX3528287	PRJEB34168	408170	human gut metagenome	4159338;5169806	ftp.sra.ebi.ac.uk/vol1/fastq/ERR350/003/ERR3507073/ERR3507073_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR350/003/ERR3507073/ERR3507073_2.fastq.gz	3811403;4835728	ftp.sra.ebi.ac.uk/vol1/run/ERR350/ERR3507073/MS26_6_L001_R1_001.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR350/ERR3507073/MS26_6_L001_R2_001.fastq.gz	10703813	ftp.sra.ebi.ac.uk/vol1/err/ERR350/003/ERR3507073		
